exp_moment,animal_ID,model,hpo_config,pretrain_type,n_pretrain_sessions,repeat_idx,total_reward,n_actions,seed,timestamp
251224-181729,031,DQN,default,none,0,4,7.0,80,46,2026-03-16T17:25:40.342960
251224-181729,031,DQN,default,prior_sessions_same_maze,7,4,62.0,80,46,2026-03-16T17:25:41.613957
251222-194856,031,DQN,default,none,0,0,23.0,212,42,2026-03-16T17:25:41.781667
251222-194856,031,DQN,default,prior_sessions_same_maze,6,0,151.0,212,42,2026-03-16T17:25:42.953522
251222-194856,031,DQN,default,none,0,1,70.0,212,43,2026-03-16T17:25:43.127118
251222-194856,031,DQN,default,prior_sessions_same_maze,6,1,153.0,212,43,2026-03-16T17:25:44.305881
251222-194856,031,DQN,default,none,0,2,13.0,212,44,2026-03-16T17:25:44.474154
251222-194856,031,DQN,default,prior_sessions_same_maze,6,2,8.0,212,44,2026-03-16T17:25:45.628962
251222-194856,031,DQN,default,none,0,3,8.0,212,45,2026-03-16T17:25:45.839448
251222-194856,031,DQN,default,prior_sessions_same_maze,6,3,47.0,212,45,2026-03-16T17:25:47.149996
251222-194856,031,DQN,default,none,0,4,28.0,212,46,2026-03-16T17:25:47.400401
251222-194856,031,DQN,default,prior_sessions_same_maze,6,4,166.0,212,46,2026-03-16T17:25:48.571359
251221-193410,031,DQN,default,none,0,0,64.0,529,42,2026-03-16T17:25:48.888251
251221-193410,031,DQN,default,prior_sessions_same_maze,5,0,352.0,529,42,2026-03-16T17:25:50.038990
251221-193410,031,DQN,default,none,0,1,220.0,529,43,2026-03-16T17:25:50.386914
251221-193410,031,DQN,default,prior_sessions_same_maze,5,1,314.0,529,43,2026-03-16T17:25:51.902831
251221-193410,031,DQN,default,none,0,2,165.0,529,44,2026-03-16T17:25:52.418689
251221-193410,031,DQN,default,prior_sessions_same_maze,5,2,50.0,529,44,2026-03-16T17:25:54.034318
251221-193410,031,DQN,default,none,0,3,14.0,529,45,2026-03-16T17:25:54.506496
251221-193410,031,DQN,default,prior_sessions_same_maze,5,3,256.0,529,45,2026-03-16T17:25:55.892130
251221-193410,031,DQN,default,none,0,4,250.0,529,46,2026-03-16T17:25:56.299541
251221-193410,031,DQN,default,prior_sessions_same_maze,5,4,399.0,529,46,2026-03-16T17:25:57.447384
251220-165800,031,DQN,default,none,0,0,191.0,695,42,2026-03-16T17:25:57.908634
251220-165800,031,DQN,default,prior_sessions_same_maze,4,0,519.0,695,42,2026-03-16T17:25:58.778699
251220-165800,031,DQN,default,none,0,1,316.0,695,43,2026-03-16T17:25:59.301604
251220-165800,031,DQN,default,prior_sessions_same_maze,4,1,411.0,695,43,2026-03-16T17:26:00.247903
251220-165800,031,DQN,default,none,0,2,293.0,695,44,2026-03-16T17:26:00.739694
251220-165800,031,DQN,default,prior_sessions_same_maze,4,2,206.0,695,44,2026-03-16T17:26:01.681748
251220-165800,031,DQN,default,none,0,3,22.0,695,45,2026-03-16T17:26:02.208642
251220-165800,031,DQN,default,prior_sessions_same_maze,4,3,45.0,695,45,2026-03-16T17:26:03.140829
251220-165800,031,DQN,default,none,0,4,361.0,695,46,2026-03-16T17:26:03.604075
251220-165800,031,DQN,default,prior_sessions_same_maze,4,4,471.0,695,46,2026-03-16T17:26:04.461589
251130-232218,031,DQN,default,none,0,0,23.0,239,42,2026-03-16T17:26:04.651320
251130-232218,031,DQN,default,prior_sessions_same_maze,3,0,137.0,239,42,2026-03-16T17:26:05.139605
251130-232218,031,DQN,default,none,0,1,93.0,239,43,2026-03-16T17:26:05.329046
251130-232218,031,DQN,default,prior_sessions_same_maze,3,1,158.0,239,43,2026-03-16T17:26:05.869544
251130-232218,031,DQN,default,none,0,2,28.0,239,44,2026-03-16T17:26:06.068623
251130-232218,031,DQN,default,prior_sessions_same_maze,3,2,179.0,239,44,2026-03-16T17:26:06.584201
251130-232218,031,DQN,default,none,0,3,10.0,239,45,2026-03-16T17:26:06.806028
251130-232218,031,DQN,default,prior_sessions_same_maze,3,3,25.0,239,45,2026-03-16T17:26:07.387654
251130-232218,031,DQN,default,none,0,4,52.0,239,46,2026-03-16T17:26:07.599752
251130-232218,031,DQN,default,prior_sessions_same_maze,3,4,116.0,239,46,2026-03-16T17:26:08.124125
251130-134624,031,DQN,default,none,0,0,28.0,270,42,2026-03-16T17:26:08.325010
251130-134624,031,DQN,default,prior_sessions_same_maze,2,0,175.0,270,42,2026-03-16T17:26:08.722011
251130-134624,031,DQN,default,none,0,1,104.0,270,43,2026-03-16T17:26:08.922024
251130-134624,031,DQN,default,prior_sessions_same_maze,2,1,192.0,270,43,2026-03-16T17:26:09.309809
251130-134624,031,DQN,default,none,0,2,34.0,270,44,2026-03-16T17:26:09.511316
251130-134624,031,DQN,default,prior_sessions_same_maze,2,2,177.0,270,44,2026-03-16T17:26:09.882842
251130-134624,031,DQN,default,none,0,3,13.0,270,45,2026-03-16T17:26:10.124230
251130-134624,031,DQN,default,prior_sessions_same_maze,2,3,23.0,270,45,2026-03-16T17:26:10.575646
251130-134624,031,DQN,default,none,0,4,79.0,270,46,2026-03-16T17:26:10.789579
251130-134624,031,DQN,default,prior_sessions_same_maze,2,4,140.0,270,46,2026-03-16T17:26:11.226126
251129-155326,031,DQN,default,none,0,0,68.0,420,42,2026-03-16T17:26:11.502234
251129-155326,031,DQN,default,prior_sessions_same_maze,7,0,166.0,420,42,2026-03-16T17:26:12.651847
251129-155326,031,DQN,default,none,0,1,200.0,420,43,2026-03-16T17:26:12.978572
251129-155326,031,DQN,default,prior_sessions_same_maze,7,1,209.0,420,43,2026-03-16T17:26:14.185164
251129-155326,031,DQN,default,none,0,2,70.0,420,44,2026-03-16T17:26:14.501525
251129-155326,031,DQN,default,prior_sessions_same_maze,7,2,355.0,420,44,2026-03-16T17:26:15.655169
251129-155326,031,DQN,default,none,0,3,134.0,420,45,2026-03-16T17:26:15.992237
251129-155326,031,DQN,default,prior_sessions_same_maze,7,3,340.0,420,45,2026-03-16T17:26:17.180579
251129-155326,031,DQN,default,none,0,4,202.0,420,46,2026-03-16T17:26:17.457778
251129-155326,031,DQN,default,prior_sessions_same_maze,7,4,357.0,420,46,2026-03-16T17:26:18.571414
251128-125956,031,DQN,default,none,0,0,34.0,271,42,2026-03-16T17:26:18.765458
251128-125956,031,DQN,default,prior_sessions_same_maze,6,0,129.0,271,42,2026-03-16T17:26:19.718594
