exp_moment,animal_ID,model,history_len,config_name,repeat_idx,total_reward,n_actions,timestamp,seed,hpo_config
251130-134624,031,A2C,0,ego,0,39.0,270,2026-03-17T02:50:56.620051,60791,default
251130-134624,031,A2C,0,ego,1,35.0,270,2026-03-17T02:50:56.916163,60792,default
251130-134624,031,A2C,0,ego,2,35.0,270,2026-03-17T02:50:57.201772,60793,default
251130-134624,031,A2C,0,ego,3,37.0,270,2026-03-17T02:50:57.491803,60794,default
251130-134624,031,A2C,0,ego,4,23.0,270,2026-03-17T02:50:57.775807,60795,default
251129-155326,031,A2C,0,ego,0,81.0,420,2026-03-17T02:50:58.135078,60791,default
251129-155326,031,A2C,0,ego,1,92.0,420,2026-03-17T02:50:58.550843,60792,default
251129-155326,031,A2C,0,ego,2,116.0,420,2026-03-17T02:50:58.926736,60793,default
251129-155326,031,A2C,0,ego,3,27.0,420,2026-03-17T02:50:59.315160,60794,default
251129-155326,031,A2C,0,ego,4,77.0,420,2026-03-17T02:50:59.692465,60795,default
251128-125956,031,A2C,0,ego,0,33.0,271,2026-03-17T02:50:59.950866,60791,default
251128-125956,031,A2C,0,ego,1,55.0,271,2026-03-17T02:51:00.240885,60792,default
251128-125956,031,A2C,0,ego,2,78.0,271,2026-03-17T02:51:00.502117,60793,default
251128-125956,031,A2C,0,ego,3,27.0,271,2026-03-17T02:51:00.786115,60794,default
251128-125956,031,A2C,0,ego,4,66.0,271,2026-03-17T02:51:01.054861,60795,default
251127-113857,031,A2C,0,ego,0,12.0,140,2026-03-17T02:51:01.207447,60791,default
251127-113857,031,A2C,0,ego,1,22.0,140,2026-03-17T02:51:01.385970,60792,default
251127-113857,031,A2C,0,ego,2,44.0,140,2026-03-17T02:51:01.554550,60793,default
251127-113857,031,A2C,0,ego,3,14.0,140,2026-03-17T02:51:01.738106,60794,default
251127-113857,031,A2C,0,ego,4,39.0,140,2026-03-17T02:51:01.897420,60795,default
251126-135239,031,A2C,0,ego,0,51.0,317,2026-03-17T02:51:02.196036,60791,default
251126-135239,031,A2C,0,ego,1,66.0,317,2026-03-17T02:51:02.530635,60792,default
251126-135239,031,A2C,0,ego,2,89.0,317,2026-03-17T02:51:02.845108,60793,default
251126-135239,031,A2C,0,ego,3,27.0,317,2026-03-17T02:51:03.173452,60794,default
251126-135239,031,A2C,0,ego,4,69.0,317,2026-03-17T02:51:03.472840,60795,default
251125-162636,031,A2C,0,ego,0,55.0,327,2026-03-17T02:51:03.776156,60791,default
251125-162636,031,A2C,0,ego,1,67.0,327,2026-03-17T02:51:04.127650,60792,default
251125-162636,031,A2C,0,ego,2,92.0,327,2026-03-17T02:51:04.432984,60793,default
251125-162636,031,A2C,0,ego,3,27.0,327,2026-03-17T02:51:04.764030,60794,default
251125-162636,031,A2C,0,ego,4,69.0,327,2026-03-17T02:51:05.073491,60795,default
251124-164313,031,A2C,0,ego,0,50.0,306,2026-03-17T02:51:05.360799,60791,default
251124-164313,031,A2C,0,ego,1,62.0,306,2026-03-17T02:51:05.683989,60792,default
251124-164313,031,A2C,0,ego,2,84.0,306,2026-03-17T02:51:05.983996,60793,default
251124-164313,031,A2C,0,ego,3,27.0,306,2026-03-17T02:51:06.295943,60794,default
251124-164313,031,A2C,0,ego,4,69.0,306,2026-03-17T02:51:06.587194,60795,default
251123-125720,031,A2C,0,ego,0,23.0,219,2026-03-17T02:51:06.807569,60791,default
251123-125720,031,A2C,0,ego,1,42.0,219,2026-03-17T02:51:07.057387,60792,default
251123-125720,031,A2C,0,ego,2,69.0,219,2026-03-17T02:51:07.295339,60793,default
251123-125720,031,A2C,0,ego,3,26.0,219,2026-03-17T02:51:07.539269,60794,default
251123-125720,031,A2C,0,ego,4,64.0,219,2026-03-17T02:51:07.768082,60795,default
251122-140850,031,A2C,0,ego,0,10.0,156,2026-03-17T02:51:07.957618,60791,default
251122-140850,031,A2C,0,ego,1,22.0,156,2026-03-17T02:51:08.160629,60792,default
251122-140850,031,A2C,0,ego,2,23.0,156,2026-03-17T02:51:08.348574,60793,default
251122-140850,031,A2C,0,ego,3,22.0,156,2026-03-17T02:51:08.531708,60794,default
251122-140850,031,A2C,0,ego,4,23.0,156,2026-03-17T02:51:08.714221,60795,default
251121-141557,031,A2C,0,ego,0,22.0,207,2026-03-17T02:51:08.946785,60791,default
251121-141557,031,A2C,0,ego,1,35.0,207,2026-03-17T02:51:09.173772,60792,default
251121-141557,031,A2C,0,ego,2,24.0,207,2026-03-17T02:51:09.407335,60793,default
251121-141557,031,A2C,0,ego,3,26.0,207,2026-03-17T02:51:09.631589,60794,default
251121-141557,031,A2C,0,ego,4,23.0,207,2026-03-17T02:51:09.864143,60795,default
251120-132717,031,A2C,0,ego,0,46.0,296,2026-03-17T02:51:10.146614,60791,default
251120-132717,031,A2C,0,ego,1,59.0,296,2026-03-17T02:51:10.463980,60792,default
251120-132717,031,A2C,0,ego,2,83.0,296,2026-03-17T02:51:10.772604,60793,default
251120-132717,031,A2C,0,ego,3,27.0,296,2026-03-17T02:51:11.074834,60794,default
251120-132717,031,A2C,0,ego,4,67.0,296,2026-03-17T02:51:11.363018,60795,default
251119-171644,031,A2C,0,ego,0,149.0,546,2026-03-17T02:51:11.828813,60791,default
251119-171644,031,A2C,0,ego,1,86.0,546,2026-03-17T02:51:12.345918,60792,default
251119-171644,031,A2C,0,ego,2,164.0,546,2026-03-17T02:51:12.953016,60793,default
251119-171644,031,A2C,0,ego,3,117.0,546,2026-03-17T02:51:13.500882,60794,default
251119-171644,031,A2C,0,ego,4,90.0,546,2026-03-17T02:51:14.035210,60795,default
251116-180749,033,A2C,0,ego,0,30.0,89,2026-03-17T02:51:14.207261,60791,default
251116-180749,033,A2C,0,ego,1,19.0,89,2026-03-17T02:51:14.350264,60792,default
251116-180749,033,A2C,0,ego,2,11.0,89,2026-03-17T02:51:14.527771,60793,default
251116-180749,033,A2C,0,ego,3,21.0,89,2026-03-17T02:51:14.708211,60794,default
251116-180749,033,A2C,0,ego,4,35.0,89,2026-03-17T02:51:14.870790,60795,default
251115-180903,033,A2C,0,ego,0,12.0,96,2026-03-17T02:51:15.036811,60791,default
251115-180903,033,A2C,0,ego,1,23.0,96,2026-03-17T02:51:15.206780,60792,default
251115-180903,033,A2C,0,ego,2,24.0,96,2026-03-17T02:51:15.374390,60793,default
251115-180903,033,A2C,0,ego,3,12.0,96,2026-03-17T02:51:15.555351,60794,default
251115-180903,033,A2C,0,ego,4,8.0,96,2026-03-17T02:51:15.727044,60795,default
251113-230441,033,A2C,0,ego,0,10.0,67,2026-03-17T02:51:15.855088,60791,default
251113-230441,033,A2C,0,ego,1,14.0,67,2026-03-17T02:51:15.994673,60792,default
251113-230441,033,A2C,0,ego,2,23.0,67,2026-03-17T02:51:16.136255,60793,default
251113-230441,033,A2C,0,ego,3,11.0,67,2026-03-17T02:51:16.287016,60794,default
251113-230441,033,A2C,0,ego,4,8.0,67,2026-03-17T02:51:16.421006,60795,default
251112-225928,033,A2C,0,ego,0,12.0,90,2026-03-17T02:51:16.579132,60791,default
251112-225928,033,A2C,0,ego,1,23.0,90,2026-03-17T02:51:16.709482,60792,default
251112-225928,033,A2C,0,ego,2,24.0,90,2026-03-17T02:51:16.848035,60793,default
251112-225928,033,A2C,0,ego,3,12.0,90,2026-03-17T02:51:16.991608,60794,default
251112-225928,033,A2C,0,ego,4,8.0,90,2026-03-17T02:51:17.113610,60795,default
251111-225736,033,A2C,0,ego,0,8.0,69,2026-03-17T02:51:17.229117,60791,default
251111-225736,033,A2C,0,ego,1,19.0,69,2026-03-17T02:51:17.353838,60792,default
251111-225736,033,A2C,0,ego,2,14.0,69,2026-03-17T02:51:17.472699,60793,default
251111-225736,033,A2C,0,ego,3,8.0,69,2026-03-17T02:51:17.588866,60794,default
251111-225736,033,A2C,0,ego,4,14.0,69,2026-03-17T02:51:17.698561,60795,default
251109-230458,033,A2C,0,ego,0,8.0,51,2026-03-17T02:51:17.804603,60791,default
251109-230458,033,A2C,0,ego,1,11.0,51,2026-03-17T02:51:17.913853,60792,default
251109-230458,033,A2C,0,ego,2,14.0,51,2026-03-17T02:51:18.032619,60793,default
251109-230458,033,A2C,0,ego,3,8.0,51,2026-03-17T02:51:18.136779,60794,default
251109-230458,033,A2C,0,ego,4,13.0,51,2026-03-17T02:51:18.234989,60795,default
251108-230846,033,A2C,0,ego,0,25.0,128,2026-03-17T02:51:18.400612,60791,default
251108-230846,033,A2C,0,ego,1,27.0,128,2026-03-17T02:51:18.556915,60792,default
251108-230846,033,A2C,0,ego,2,24.0,128,2026-03-17T02:51:18.725694,60793,default
251108-230846,033,A2C,0,ego,3,14.0,128,2026-03-17T02:51:18.898615,60794,default
251108-230846,033,A2C,0,ego,4,8.0,128,2026-03-17T02:51:19.055624,60795,default
251107-230429,033,A2C,0,ego,0,33.0,146,2026-03-17T02:51:19.236171,60791,default
251107-230429,033,A2C,0,ego,1,30.0,146,2026-03-17T02:51:19.410733,60792,default
251107-230429,033,A2C,0,ego,2,28.0,146,2026-03-17T02:51:19.591622,60793,default
251107-230429,033,A2C,0,ego,3,19.0,146,2026-03-17T02:51:19.784449,60794,default
251107-230429,033,A2C,0,ego,4,8.0,146,2026-03-17T02:51:19.962677,60795,default
251106-230142,033,A2C,0,ego,0,75.0,285,2026-03-17T02:51:20.237316,60791,default
251106-230142,033,A2C,0,ego,1,39.0,285,2026-03-17T02:51:20.540005,60792,default
251106-230142,033,A2C,0,ego,2,55.0,285,2026-03-17T02:51:20.864809,60793,default
251106-230142,033,A2C,0,ego,3,76.0,285,2026-03-17T02:51:21.154022,60794,default
251106-230142,033,A2C,0,ego,4,58.0,285,2026-03-17T02:51:21.437895,60795,default
251105-230500,033,A2C,0,ego,0,50.0,172,2026-03-17T02:51:21.637389,60791,default
251105-230500,033,A2C,0,ego,1,38.0,172,2026-03-17T02:51:21.861971,60792,default
251105-230500,033,A2C,0,ego,2,32.0,172,2026-03-17T02:51:22.085037,60793,default
251105-230500,033,A2C,0,ego,3,50.0,172,2026-03-17T02:51:22.285292,60794,default
251105-230500,033,A2C,0,ego,4,40.0,172,2026-03-17T02:51:22.490188,60795,default
