exp_moment,model,seed,total_reward,n_actions,animal_ID
251231-172527,Clone_allo_latent,45,24.0,121,031
251231-172527,Clone_allo_latent,46,14.0,121,031
251230-171810,FullFwd,42,42.0,171,031
251230-171810,FullFwd,43,50.0,171,031
251230-171810,FullFwd,44,27.0,171,031
251230-171810,FullFwd,45,54.0,171,031
251230-171810,FullFwd,46,14.0,171,031
251230-171810,NoBkFullFwd,42,82.0,171,031
251230-171810,NoBkFullFwd,43,95.0,171,031
251230-171810,NoBkFullFwd,44,96.0,171,031
251230-171810,NoBkFullFwd,45,111.0,171,031
251230-171810,NoBkFullFwd,46,96.0,171,031
251230-171810,Clone_ego,42,12.0,171,031
251230-171810,Clone_ego,43,20.0,171,031
251230-171810,Clone_ego,44,4.0,171,031
251230-171810,Clone_ego,45,7.0,171,031
251230-171810,Clone_ego,46,24.0,171,031
251230-171810,Clone_allo_real,42,21.0,171,031
251230-171810,Clone_allo_real,43,27.0,171,031
251230-171810,Clone_allo_real,44,38.0,171,031
251230-171810,Clone_allo_real,45,28.0,171,031
251230-171810,Clone_allo_real,46,14.0,171,031
251230-171810,Clone_allo_latent,42,21.0,171,031
251230-171810,Clone_allo_latent,43,27.0,171,031
251230-171810,Clone_allo_latent,44,34.0,171,031
251230-171810,Clone_allo_latent,45,28.0,171,031
251230-171810,Clone_allo_latent,46,14.0,171,031
251229-180544,FullFwd,42,69.0,318,031
251229-180544,FullFwd,43,81.0,318,031
251229-180544,FullFwd,44,52.0,318,031
251229-180544,FullFwd,45,81.0,318,031
251229-180544,FullFwd,46,37.0,318,031
251229-180544,NoBkFullFwd,42,145.0,318,031
251229-180544,NoBkFullFwd,43,180.0,318,031
251229-180544,NoBkFullFwd,44,176.0,318,031
251229-180544,NoBkFullFwd,45,182.0,318,031
251229-180544,NoBkFullFwd,46,167.0,318,031
251229-180544,Clone_ego,42,42.0,318,031
251229-180544,Clone_ego,43,77.0,318,031
251229-180544,Clone_ego,44,78.0,318,031
251229-180544,Clone_ego,45,74.0,318,031
251229-180544,Clone_ego,46,47.0,318,031
251229-180544,Clone_allo_real,42,53.0,318,031
251229-180544,Clone_allo_real,43,53.0,318,031
251229-180544,Clone_allo_real,44,49.0,318,031
251229-180544,Clone_allo_real,45,24.0,318,031
251229-180544,Clone_allo_real,46,62.0,318,031
251229-180544,Clone_allo_latent,42,48.0,318,031
251229-180544,Clone_allo_latent,43,80.0,318,031
251229-180544,Clone_allo_latent,44,67.0,318,031
251229-180544,Clone_allo_latent,45,28.0,318,031
251229-180544,Clone_allo_latent,46,42.0,318,031
251228-174043,FullFwd,42,53.0,195,031
251228-174043,FullFwd,43,48.0,195,031
251228-174043,FullFwd,44,42.0,195,031
251228-174043,FullFwd,45,26.0,195,031
251228-174043,FullFwd,46,14.0,195,031
251228-174043,NoBkFullFwd,42,125.0,195,031
251228-174043,NoBkFullFwd,43,105.0,195,031
251228-174043,NoBkFullFwd,44,73.0,195,031
251228-174043,NoBkFullFwd,45,99.0,195,031
251228-174043,NoBkFullFwd,46,123.0,195,031
251228-174043,Clone_ego,42,22.0,195,031
251228-174043,Clone_ego,43,20.0,195,031
251228-174043,Clone_ego,44,40.0,195,031
251228-174043,Clone_ego,45,27.0,195,031
251228-174043,Clone_ego,46,50.0,195,031
251228-174043,Clone_allo_real,42,33.0,195,031
251228-174043,Clone_allo_real,43,23.0,195,031
251228-174043,Clone_allo_real,44,39.0,195,031
251228-174043,Clone_allo_real,45,34.0,195,031
251228-174043,Clone_allo_real,46,35.0,195,031
251228-174043,Clone_allo_latent,42,26.0,195,031
251228-174043,Clone_allo_latent,43,23.0,195,031
251228-174043,Clone_allo_latent,44,40.0,195,031
251228-174043,Clone_allo_latent,45,34.0,195,031
251228-174043,Clone_allo_latent,46,35.0,195,031
251227-174332,FullFwd,42,65.0,247,031
251227-174332,FullFwd,43,55.0,247,031
251227-174332,FullFwd,44,42.0,247,031
251227-174332,FullFwd,45,38.0,247,031
251227-174332,FullFwd,46,14.0,247,031
251227-174332,NoBkFullFwd,42,148.0,247,031
251227-174332,NoBkFullFwd,43,125.0,247,031
251227-174332,NoBkFullFwd,44,93.0,247,031
251227-174332,NoBkFullFwd,45,145.0,247,031
251227-174332,NoBkFullFwd,46,152.0,247,031
251227-174332,Clone_ego,42,70.0,247,031
251227-174332,Clone_ego,43,96.0,247,031
251227-174332,Clone_ego,44,77.0,247,031
251227-174332,Clone_ego,45,49.0,247,031
251227-174332,Clone_ego,46,50.0,247,031
251227-174332,Clone_allo_real,42,48.0,247,031
251227-174332,Clone_allo_real,43,37.0,247,031
251227-174332,Clone_allo_real,44,46.0,247,031
251227-174332,Clone_allo_real,45,36.0,247,031
251227-174332,Clone_allo_real,46,35.0,247,031
251227-174332,Clone_allo_latent,42,50.0,247,031
251227-174332,Clone_allo_latent,43,26.0,247,031
251227-174332,Clone_allo_latent,44,46.0,247,031
251227-174332,Clone_allo_latent,45,36.0,247,031
251227-174332,Clone_allo_latent,46,28.0,247,031
251226-181307,FullFwd,42,55.0,208,031
251226-181307,FullFwd,43,49.0,208,031
251226-181307,FullFwd,44,42.0,208,031
251226-181307,FullFwd,45,26.0,208,031
251226-181307,FullFwd,46,14.0,208,031
251226-181307,NoBkFullFwd,42,133.0,208,031
251226-181307,NoBkFullFwd,43,105.0,208,031
251226-181307,NoBkFullFwd,44,77.0,208,031
251226-181307,NoBkFullFwd,45,112.0,208,031
251226-181307,NoBkFullFwd,46,123.0,208,031
251226-181307,Clone_ego,42,69.0,208,031
251226-181307,Clone_ego,43,62.0,208,031
251226-181307,Clone_ego,44,40.0,208,031
251226-181307,Clone_ego,45,63.0,208,031
251226-181307,Clone_ego,46,54.0,208,031
251226-181307,Clone_allo_real,42,26.0,208,031
251226-181307,Clone_allo_real,43,35.0,208,031
251226-181307,Clone_allo_real,44,40.0,208,031
251226-181307,Clone_allo_real,45,36.0,208,031
251226-181307,Clone_allo_real,46,14.0,208,031
251226-181307,Clone_allo_latent,42,44.0,208,031
251226-181307,Clone_allo_latent,43,23.0,208,031
251226-181307,Clone_allo_latent,44,36.0,208,031
251226-181307,Clone_allo_latent,45,36.0,208,031
251226-181307,Clone_allo_latent,46,28.0,208,031
251225-181630,FullFwd,42,50.0,178,031
251225-181630,FullFwd,43,46.0,178,031
251225-181630,FullFwd,44,42.0,178,031
251225-181630,FullFwd,45,26.0,178,031
251225-181630,FullFwd,46,14.0,178,031
251225-181630,NoBkFullFwd,42,120.0,178,031
251225-181630,NoBkFullFwd,43,96.0,178,031
251225-181630,NoBkFullFwd,44,64.0,178,031
251225-181630,NoBkFullFwd,45,94.0,178,031
251225-181630,NoBkFullFwd,46,107.0,178,031
251225-181630,Clone_ego,42,49.0,178,031
251225-181630,Clone_ego,43,70.0,178,031
251225-181630,Clone_ego,44,49.0,178,031
251225-181630,Clone_ego,45,76.0,178,031
251225-181630,Clone_ego,46,55.0,178,031
251225-181630,Clone_allo_real,42,35.0,178,031
251225-181630,Clone_allo_real,43,23.0,178,031
251225-181630,Clone_allo_real,44,35.0,178,031
251225-181630,Clone_allo_real,45,23.0,178,031
251225-181630,Clone_allo_real,46,35.0,178,031
251225-181630,Clone_allo_latent,42,35.0,178,031
251225-181630,Clone_allo_latent,43,23.0,178,031
251225-181630,Clone_allo_latent,44,35.0,178,031
251225-181630,Clone_allo_latent,45,27.0,178,031
251225-181630,Clone_allo_latent,46,14.0,178,031
251224-181729,FullFwd,42,27.0,80,031
251224-181729,FullFwd,43,25.0,80,031
251224-181729,FullFwd,44,27.0,80,031
