exp_moment,animal_ID,n_prior_sessions,total_reward,rpa,seed
260201-212331,033,17,169.0,0.5748299319727891,43
260201-212331,033,17,196.0,0.6666666666666666,44
260202-202543,033,18,149.0,0.6313559322033898,42
260202-202543,033,18,149.0,0.6313559322033898,43
260202-202543,033,18,133.0,0.5635593220338984,44
260203-171228,033,19,152.0,0.596078431372549,42
260203-171228,033,19,144.0,0.5647058823529412,43
260203-171228,033,19,170.0,0.6666666666666666,44
260204-193925,033,20,63.0,0.41721854304635764,42
260204-193925,033,20,108.0,0.7152317880794702,43
260204-193925,033,20,92.0,0.609271523178808,44
260205-191855,033,21,82.0,0.6456692913385826,42
260205-191855,033,21,81.0,0.6377952755905512,43
260205-191855,033,21,84.0,0.6614173228346457,44
260206-144834,033,22,285.0,0.5501930501930502,42
260206-144834,033,22,333.0,0.6428571428571429,43
260206-144834,033,22,353.0,0.6814671814671814,44
260208-145358,033,23,138.0,0.5897435897435898,42
260208-145358,033,23,168.0,0.717948717948718,43
260208-145358,033,23,95.0,0.405982905982906,44
260209-143612,033,24,149.0,0.6681614349775785,42
260209-143612,033,24,126.0,0.5650224215246636,43
260209-143612,033,24,152.0,0.6816143497757847,44
260210-142932,033,25,135.0,0.5720338983050848,42
260210-142932,033,25,170.0,0.7203389830508474,43
260210-142932,033,25,183.0,0.7754237288135594,44
260211-143636,033,26,179.0,0.6325088339222615,42
260211-143636,033,26,195.0,0.6890459363957597,43
260211-143636,033,26,176.0,0.6219081272084805,44
260213-001923,033,27,125.0,0.5,42
260213-001923,033,27,176.0,0.704,43
260213-001923,033,27,193.0,0.772,44
260213-223917,033,28,125.0,0.48638132295719844,42
260213-223917,033,28,151.0,0.5875486381322957,43
260213-223917,033,28,134.0,0.5214007782101168,44
260216-230300,033,29,152.0,0.562962962962963,42
260216-230300,033,29,143.0,0.5296296296296297,43
260216-230300,033,29,181.0,0.6703703703703704,44
260217-193501,033,30,147.0,0.6074380165289256,42
260217-193501,033,30,138.0,0.5702479338842975,43
260217-193501,033,30,147.0,0.6074380165289256,44
260218-180723,033,31,203.0,0.697594501718213,42
260218-180723,033,31,176.0,0.6048109965635738,43
260218-180723,033,31,222.0,0.7628865979381443,44
260219-233757,033,32,135.0,0.7714285714285715,42
260219-233757,033,32,133.0,0.76,43
260219-233757,033,32,129.0,0.7371428571428571,44
260220-185055,033,33,206.0,0.8373983739837398,42
260220-185055,033,33,206.0,0.8373983739837398,43
260220-185055,033,33,205.0,0.8333333333333334,44
260222-190726,033,34,97.0,0.6423841059602649,42
260222-190726,033,34,101.0,0.6688741721854304,43
260222-190726,033,34,112.0,0.7417218543046358,44
260223-191545,033,35,91.0,0.6946564885496184,42
260223-191545,033,35,96.0,0.732824427480916,43
260223-191545,033,35,92.0,0.7022900763358778,44
