exp_moment,animal_ID,model,seed,total_reward,n_actions,rpa,elapsed_s,reset_val,n_init_rewards,adj_file,status,timestamp
240306-191216,8,DQN,3,20.0,354,0.05649717514124294,1.49,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:47
240306-191216,8,DQN,4,69.0,354,0.19491525423728814,1.3,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:47
240306-210028,4,DQN,4,40.0,194,0.20618556701030927,0.75,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:47
240306-210028,4,DQN,3,20.0,194,0.10309278350515463,0.93,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:48
240307-162458,2,DQN,0,16.0,362,0.04419889502762431,1.18,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:48
240307-162458,2,DQN,1,78.0,362,0.2154696132596685,1.28,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:48
240307-162458,2,DQN,2,37.0,362,0.10220994475138122,1.1,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:48
240307-162458,2,DQN,3,20.0,362,0.055248618784530384,1.44,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:49
240307-162458,2,DQN,4,69.0,362,0.19060773480662985,1.3,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:49
240307-201718,8,DQN,0,16.0,266,0.06015037593984962,0.99,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:49
240307-183319,7,DQN,0,16.0,559,0.028622540250447227,1.87,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:49
240307-183319,7,DQN,2,73.0,559,0.13059033989266547,1.85,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:49
240307-183319,7,DQN,1,84.0,559,0.15026833631484796,1.94,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:49
240307-201718,8,DQN,2,30.0,266,0.11278195488721804,0.98,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:50
240307-201718,8,DQN,1,43.0,266,0.16165413533834586,1.15,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:50
240307-221731,4,DQN,0,16.0,202,0.07920792079207921,0.81,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:50
240307-183319,7,DQN,4,125.0,559,0.22361359570661896,1.96,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:50
240307-221731,4,DQN,1,43.0,202,0.21287128712871287,0.87,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:50
240307-183319,7,DQN,3,43.0,559,0.07692307692307693,2.34,2,45,240218_intuition_maze_003-adjacency.csv,ok,2026-05-05T12:05:50
