exp_moment,animal_ID,maze,model,repeat_idx,total_reward,n_actions,mouse_reward,seed,elapsed_s,date_part
251220-165800,031,250311_latMaz103,VarMarkov,2,111.0,695,218,44,0.0525,251220
251220-165800,031,250311_latMaz103,VarMarkov,3,117.0,695,218,45,0.0498,251220
251220-165800,031,250311_latMaz103,VarMarkov,4,52.0,695,218,46,0.0531,251220
251130-232218,031,250311_latMaz103,VarMarkov,0,13.0,239,55,42,0.04,251130
251130-232218,031,250311_latMaz103,VarMarkov,1,53.0,239,55,43,0.0404,251130
251130-232218,031,250311_latMaz103,VarMarkov,2,32.0,239,55,44,0.04,251130
251130-232218,031,250311_latMaz103,VarMarkov,3,36.0,239,55,45,0.0404,251130
251130-232218,031,250311_latMaz103,VarMarkov,4,13.0,239,55,46,0.0405,251130
251130-134624,031,250311_latMaz103,VarMarkov,0,13.0,270,82,42,0.0415,251130
251130-134624,031,250311_latMaz103,VarMarkov,1,54.0,270,82,43,0.0414,251130
251130-134624,031,250311_latMaz103,VarMarkov,2,35.0,270,82,44,0.0413,251130
251130-134624,031,250311_latMaz103,VarMarkov,3,36.0,270,82,45,0.0445,251130
251130-134624,031,250311_latMaz103,VarMarkov,4,13.0,270,82,46,0.0451,251130
251129-155326,031,250311_latMaz101,VarMarkov,0,69.0,420,153,42,0.0523,251129
251129-155326,031,250311_latMaz101,VarMarkov,1,88.0,420,153,43,0.0511,251129
251129-155326,031,250311_latMaz101,VarMarkov,2,107.0,420,153,44,0.0517,251129
251129-155326,031,250311_latMaz101,VarMarkov,3,56.0,420,153,45,0.0455,251129
251129-155326,031,250311_latMaz101,VarMarkov,4,82.0,420,153,46,0.0433,251129
251128-125956,031,250311_latMaz101,VarMarkov,0,47.0,271,69,42,0.0426,251128
251128-125956,031,250311_latMaz101,VarMarkov,1,39.0,271,69,43,0.0445,251128
251128-125956,031,250311_latMaz101,VarMarkov,2,63.0,271,69,44,0.0432,251128
251128-125956,031,250311_latMaz101,VarMarkov,3,39.0,271,69,45,0.0448,251128
251128-125956,031,250311_latMaz101,VarMarkov,4,58.0,271,69,46,0.0458,251128
251127-113857,031,250311_latMaz101,VarMarkov,0,18.0,140,12,42,0.0408,251127
251127-113857,031,250311_latMaz101,VarMarkov,1,31.0,140,12,43,0.04,251127
251127-113857,031,250311_latMaz101,VarMarkov,2,44.0,140,12,44,0.0417,251127
251127-113857,031,250311_latMaz101,VarMarkov,3,23.0,140,12,45,0.0415,251127
251127-113857,031,250311_latMaz101,VarMarkov,4,37.0,140,12,46,0.039,251127
251126-135239,031,250311_latMaz101,VarMarkov,0,56.0,317,125,42,0.0434,251126
251126-135239,031,250311_latMaz101,VarMarkov,1,53.0,317,125,43,0.042,251126
251126-135239,031,250311_latMaz101,VarMarkov,2,66.0,317,125,44,0.0436,251126
251126-135239,031,250311_latMaz101,VarMarkov,3,50.0,317,125,45,0.0439,251126
251126-135239,031,250311_latMaz101,VarMarkov,4,64.0,317,125,46,0.0441,251126
251125-162636,031,250311_latMaz101,VarMarkov,0,56.0,327,96,42,0.0424,251125
251125-162636,031,250311_latMaz101,VarMarkov,1,61.0,327,96,43,0.0431,251125
251125-162636,031,250311_latMaz101,VarMarkov,2,70.0,327,96,44,0.0432,251125
251125-162636,031,250311_latMaz101,VarMarkov,3,52.0,327,96,45,0.0435,251125
251125-162636,031,250311_latMaz101,VarMarkov,4,64.0,327,96,46,0.0466,251125
251124-164313,031,250311_latMaz101,VarMarkov,0,56.0,306,66,42,0.0409,251124
251124-164313,031,250311_latMaz101,VarMarkov,1,47.0,306,66,43,0.0421,251124
251124-164313,031,250311_latMaz101,VarMarkov,2,66.0,306,66,44,0.0429,251124
251124-164313,031,250311_latMaz101,VarMarkov,3,46.0,306,66,45,0.0439,251124
251124-164313,031,250311_latMaz101,VarMarkov,4,64.0,306,66,46,0.0441,251124
251123-125720,031,250311_latMaz101,VarMarkov,0,28.0,219,11,42,0.0425,251123
251123-125720,031,250311_latMaz101,VarMarkov,1,39.0,219,11,43,0.0431,251123
251123-125720,031,250311_latMaz101,VarMarkov,2,59.0,219,11,44,0.0413,251123
251123-125720,031,250311_latMaz101,VarMarkov,3,32.0,219,11,45,0.0408,251123
251123-125720,031,250311_latMaz101,VarMarkov,4,56.0,219,11,46,0.0436,251123
251122-140850,031,250311_latMaz103,VarMarkov,0,13.0,156,7,42,0.0464,251122
251122-140850,031,250311_latMaz103,VarMarkov,1,45.0,156,7,43,0.0469,251122
251122-140850,031,250311_latMaz103,VarMarkov,2,21.0,156,7,44,0.0405,251122
251122-140850,031,250311_latMaz103,VarMarkov,3,23.0,156,7,45,0.0388,251122
251122-140850,031,250311_latMaz103,VarMarkov,4,13.0,156,7,46,0.0396,251122
251121-141557,031,250311_latMaz103,VarMarkov,0,13.0,207,32,42,0.0404,251121
251121-141557,031,250311_latMaz103,VarMarkov,1,53.0,207,32,43,0.04,251121
251121-141557,031,250311_latMaz103,VarMarkov,2,25.0,207,32,44,0.0408,251121
251121-141557,031,250311_latMaz103,VarMarkov,3,35.0,207,32,45,0.0399,251121
251121-141557,031,250311_latMaz103,VarMarkov,4,13.0,207,32,46,0.0397,251121
251120-132717,031,250311_latMaz101,VarMarkov,0,55.0,296,35,42,0.0422,251120
251120-132717,031,250311_latMaz101,VarMarkov,1,42.0,296,35,43,0.0428,251120
251120-132717,031,250311_latMaz101,VarMarkov,2,63.0,296,35,44,0.0453,251120
251120-132717,031,250311_latMaz101,VarMarkov,3,43.0,296,35,45,0.0436,251120
251120-132717,031,250311_latMaz101,VarMarkov,4,64.0,296,35,46,0.0419,251120
251119-171644,031,250311_latMaz100,VarMarkov,0,97.0,546,127,42,0.0465,251119
251119-171644,031,250311_latMaz100,VarMarkov,1,145.0,546,127,43,0.047,251119
251119-171644,031,250311_latMaz100,VarMarkov,2,138.0,546,127,44,0.0485,251119
251119-171644,031,250311_latMaz100,VarMarkov,3,90.0,546,127,45,0.0491,251119
251119-171644,031,250311_latMaz100,VarMarkov,4,98.0,546,127,46,0.0484,251119
251116-180749,033,250311_latMaz101,VarMarkov,0,23.0,89,28,42,0.0407,251116
251116-180749,033,250311_latMaz101,VarMarkov,1,13.0,89,28,43,0.0396,251116
251116-180749,033,250311_latMaz101,VarMarkov,2,12.0,89,28,44,0.0402,251116
251116-180749,033,250311_latMaz101,VarMarkov,3,20.0,89,28,45,0.0394,251116
251116-180749,033,250311_latMaz101,VarMarkov,4,27.0,89,28,46,0.041,251116
251115-180903,033,250311_latMaz101,VarMarkov,0,23.0,96,25,42,0.0392,251115
251115-180903,033,250311_latMaz101,VarMarkov,1,28.0,96,25,43,0.0377,251115
251115-180903,033,250311_latMaz101,VarMarkov,2,17.0,96,25,44,0.0367,251115
251115-180903,033,250311_latMaz101,VarMarkov,3,25.0,96,25,45,0.0376,251115
251115-180903,033,250311_latMaz101,VarMarkov,4,14.0,96,25,46,0.038,251115
251113-230441,033,250311_latMaz101,VarMarkov,0,19.0,67,28,42,0.0375,251113
251113-230441,033,250311_latMaz101,VarMarkov,1,27.0,67,28,43,0.0372,251113
251113-230441,033,250311_latMaz101,VarMarkov,2,7.0,67,28,44,0.0378,251113
251113-230441,033,250311_latMaz101,VarMarkov,3,11.0,67,28,45,0.0378,251113
251113-230441,033,250311_latMaz101,VarMarkov,4,14.0,67,28,46,0.0373,251113
251112-225928,033,250311_latMaz101,VarMarkov,0,23.0,90,27,42,0.0383,251112
251112-225928,033,250311_latMaz101,VarMarkov,1,28.0,90,27,43,0.0384,251112
251112-225928,033,250311_latMaz101,VarMarkov,2,14.0,90,27,44,0.0418,251112
251112-225928,033,250311_latMaz101,VarMarkov,3,21.0,90,27,45,0.0397,251112
251112-225928,033,250311_latMaz101,VarMarkov,4,14.0,90,27,46,0.0389,251112
251111-225736,033,250311_latMaz103,VarMarkov,0,7.0,69,14,42,0.0363,251111
251111-225736,033,250311_latMaz103,VarMarkov,1,14.0,69,14,43,0.0365,251111
251111-225736,033,250311_latMaz103,VarMarkov,2,21.0,69,14,44,0.0374,251111
251111-225736,033,250311_latMaz103,VarMarkov,3,9.0,69,14,45,0.0384,251111
251111-225736,033,250311_latMaz103,VarMarkov,4,13.0,69,14,46,0.0389,251111
251110-231922,033,250311_latMaz103,VarMarkov,0,6.0,23,10,42,0.0389,251110
251110-231922,033,250311_latMaz103,VarMarkov,1,13.0,23,10,43,0.0384,251110
251110-231922,033,250311_latMaz103,VarMarkov,2,9.0,23,10,44,0.0385,251110
251110-231922,033,250311_latMaz103,VarMarkov,3,7.0,23,10,45,0.0382,251110
