exp_moment,model,seed,total_reward,n_actions,animal_ID,elapsed_s
251122-140850,POMCP_bio,44,20.0,156,031,12.629402875900269
251122-140850,POMCP_bio,45,25.0,156,031,12.14932107925415
251122-140850,POMCP_bio,46,19.0,156,031,12.656467914581299
251121-141557,POMCP_bio,42,22.0,207,031,17.317912817001343
251121-141557,POMCP_bio,43,157.0,207,031,40.28610610961914
251121-141557,POMCP_bio,44,20.0,207,031,17.710126161575317
251121-141557,POMCP_bio,45,25.0,207,031,17.047199964523315
251121-141557,POMCP_bio,46,19.0,207,031,17.663729190826416
251120-132717,POMCP_bio,42,219.0,296,031,58.99400186538696
251120-132717,POMCP_bio,43,19.0,296,031,26.138038873672485
251120-132717,POMCP_bio,44,18.0,296,031,26.18017816543579
251120-132717,POMCP_bio,45,20.0,296,031,26.07848811149597
251120-132717,POMCP_bio,46,21.0,296,031,26.037746906280518
251119-171644,POMCP_bio,42,17.0,546,031,50.89191508293152
251119-171644,POMCP_bio,43,409.0,546,031,116.36032295227051
251119-171644,POMCP_bio,44,14.0,546,031,50.89058995246887
251119-171644,POMCP_bio,45,16.0,546,031,50.88544297218323
251119-171644,POMCP_bio,46,17.0,546,031,50.94572401046753
251116-180749,POMCP_bio,42,53.0,89,033,14.374804019927979
251116-180749,POMCP_bio,43,18.0,89,033,6.306866884231567
251116-180749,POMCP_bio,44,21.0,89,033,6.514158725738525
251116-180749,POMCP_bio,45,18.0,89,033,6.482374906539917
251116-180749,POMCP_bio,46,20.0,89,033,6.496208190917969
251115-180903,POMCP_bio,42,22.0,96,033,6.763179063796997
251115-180903,POMCP_bio,43,21.0,96,033,6.864361047744751
251115-180903,POMCP_bio,44,20.0,96,033,6.792640924453735
251115-180903,POMCP_bio,45,20.0,96,033,6.840368986129761
251115-180903,POMCP_bio,46,21.0,96,033,6.831586837768555
251113-230441,POMCP_bio,42,22.0,67,033,3.895815849304199
251113-230441,POMCP_bio,43,21.0,67,033,3.978996992111206
251113-230441,POMCP_bio,44,20.0,67,033,3.962045192718506
251113-230441,POMCP_bio,45,20.0,67,033,3.9832980632781982
251113-230441,POMCP_bio,46,21.0,67,033,3.9662039279937744
251112-225928,POMCP_bio,42,22.0,90,033,6.119991779327393
251112-225928,POMCP_bio,43,21.0,90,033,6.212116003036499
251112-225928,POMCP_bio,44,20.0,90,033,6.236361980438232
251112-225928,POMCP_bio,45,20.0,90,033,6.212714195251465
251112-225928,POMCP_bio,46,21.0,90,033,6.24626898765564
251111-225736,POMCP_bio,42,46.0,69,033,9.732662916183472
251111-225736,POMCP_bio,43,18.0,69,033,4.36925196647644
251111-225736,POMCP_bio,44,21.0,69,033,4.412893295288086
251111-225736,POMCP_bio,45,52.0,69,033,9.354548931121826
251111-225736,POMCP_bio,46,17.0,69,033,4.227991819381714
251109-230458,POMCP_bio,42,38.0,51,033,5.7034008502960205
251109-230458,POMCP_bio,43,18.0,51,033,2.6050100326538086
251109-230458,POMCP_bio,44,21.0,51,033,2.6106600761413574
251109-230458,POMCP_bio,45,40.0,51,033,5.465264081954956
251109-230458,POMCP_bio,46,17.0,51,033,2.4276440143585205
251108-230846,POMCP_bio,42,22.0,128,033,9.864653825759888
251108-230846,POMCP_bio,43,21.0,128,033,9.950585842132568
251108-230846,POMCP_bio,44,20.0,128,033,9.92484974861145
251108-230846,POMCP_bio,45,20.0,128,033,9.934432983398438
251108-230846,POMCP_bio,46,21.0,128,033,9.89379358291626
251107-230429,POMCP_bio,42,22.0,146,033,11.56629991531372
251107-230429,POMCP_bio,43,21.0,146,033,11.668843030929565
251107-230429,POMCP_bio,44,20.0,146,033,11.642372131347656
251107-230429,POMCP_bio,45,20.0,146,033,11.645009756088257
251107-230429,POMCP_bio,46,21.0,146,033,11.652409791946411
251106-230142,POMCP_bio,42,17.0,285,033,25.65235996246338
251106-230142,POMCP_bio,43,208.0,285,033,58.825506925582886
251106-230142,POMCP_bio,44,14.0,285,033,25.669340133666992
251106-230142,POMCP_bio,45,16.0,285,033,25.720792770385742
251106-230142,POMCP_bio,46,17.0,285,033,25.729273080825806
251105-230500,POMCP_bio,42,17.0,172,033,14.774785995483398
251105-230500,POMCP_bio,43,122.0,172,033,33.613889932632446
251105-230500,POMCP_bio,44,14.0,172,033,14.764212846755981
251105-230500,POMCP_bio,45,16.0,172,033,14.68539023399353
251105-230500,POMCP_bio,46,17.0,172,033,14.745705127716064
251104-230415,POMCP_bio,42,17.0,87,033,6.54607892036438
251104-230415,POMCP_bio,43,58.0,87,033,14.744774103164673
251104-230415,POMCP_bio,44,14.0,87,033,6.576451063156128
251104-230415,POMCP_bio,45,16.0,87,033,6.557647943496704
251104-230415,POMCP_bio,46,17.0,87,033,6.578436851501465
260201-212331,POMCP_bio,42,235.0,294,033,60.741785764694214
260201-212331,POMCP_bio,43,18.0,294,033,25.979910850524902
260201-212331,POMCP_bio,44,21.0,294,033,26.438020944595337
260201-212331,POMCP_bio,45,18.0,294,033,25.890211820602417
260201-212331,POMCP_bio,46,20.0,294,033,26.277616262435913
260202-202543,POMCP_bio,42,183.0,236,033,47.53176999092102
260202-202543,POMCP_bio,43,18.0,236,033,20.5473370552063
260202-202543,POMCP_bio,44,21.0,236,033,20.99842619895935
260202-202543,POMCP_bio,45,18.0,236,033,20.447620153427124
260202-202543,POMCP_bio,46,20.0,236,033,20.842668056488037
260203-171228,POMCP_bio,42,200.0,255,033,52.17401695251465
260203-171228,POMCP_bio,43,18.0,255,033,22.15922498703003
260203-171228,POMCP_bio,44,21.0,255,033,22.78298592567444
260203-171228,POMCP_bio,45,18.0,255,033,22.26411008834839
260203-171228,POMCP_bio,46,20.0,255,033,22.557490825653076
260204-193925,POMCP_bio,42,110.0,151,033,28.650021076202393
260204-193925,POMCP_bio,43,18.0,151,033,11.963219165802002
260204-193925,POMCP_bio,44,21.0,151,033,12.481206893920898
260204-193925,POMCP_bio,45,18.0,151,033,11.98627495765686
260204-193925,POMCP_bio,46,20.0,151,033,12.52109694480896
260205-191855,POMCP_bio,42,95.0,127,033,23.355224132537842
260205-191855,POMCP_bio,43,18.0,127,033,9.56259799003601
260205-191855,POMCP_bio,44,21.0,127,033,10.170149326324463
260205-191855,POMCP_bio,45,18.0,127,033,9.588441848754883
260205-191855,POMCP_bio,46,20.0,127,033,10.122379064559937
260206-144834,POMCP_bio,42,441.0,518,033,112.54244089126587
260206-144834,POMCP_bio,43,18.0,518,033,47.956948041915894
260206-144834,POMCP_bio,44,21.0,518,033,48.38139796257019
260206-144834,POMCP_bio,45,18.0,518,033,47.94827604293823
260206-144834,POMCP_bio,46,20.0,518,033,48.24627470970154
260208-145358,POMCP_bio,42,182.0,234,033,47.5543532371521
260208-145358,POMCP_bio,43,18.0,234,033,20.034483194351196
260208-145358,POMCP_bio,44,21.0,234,033,20.644287109375
260208-145358,POMCP_bio,45,18.0,234,033,20.030431985855103
260208-145358,POMCP_bio,46,20.0,234,033,20.501158952713013
260209-143612,POMCP_bio,42,172.0,223,033,44.76406908035278
260209-143612,POMCP_bio,43,18.0,223,033,18.989471912384033
260209-143612,POMCP_bio,44,21.0,223,033,19.546614170074463
260209-143612,POMCP_bio,45,18.0,223,033,18.973586082458496
260209-143612,POMCP_bio,46,20.0,223,033,19.387487173080444
260210-142932,POMCP_bio,42,183.0,236,033,47.656977891922
260210-142932,POMCP_bio,43,18.0,236,033,20.246540784835815
260210-142932,POMCP_bio,44,21.0,236,033,20.791640043258667
260210-142932,POMCP_bio,45,18.0,236,033,20.197776079177856
260210-142932,POMCP_bio,46,20.0,236,033,20.5850567817688
260211-143636,POMCP_bio,42,226.0,283,033,58.431158781051636
260211-143636,POMCP_bio,43,18.0,283,033,24.833597898483276
260211-143636,POMCP_bio,44,21.0,283,033,25.392778873443604
260211-143636,POMCP_bio,45,18.0,283,033,24.838551998138428
260211-143636,POMCP_bio,46,20.0,283,033,25.370858907699585
260213-001923,POMCP_bio,42,195.0,250,033,50.98496890068054
260213-001923,POMCP_bio,43,18.0,250,033,21.60330891609192
260213-001923,POMCP_bio,44,21.0,250,033,22.139491081237793
260213-001923,POMCP_bio,45,18.0,250,033,21.64192295074463
260213-001923,POMCP_bio,46,20.0,250,033,22.09060502052307
260213-223917,POMCP_bio,42,202.0,257,033,52.45307993888855
260213-223917,POMCP_bio,43,18.0,257,033,22.23135018348694
260213-223917,POMCP_bio,44,21.0,257,033,22.87467384338379
260213-223917,POMCP_bio,45,18.0,257,033,22.276590824127197
260213-223917,POMCP_bio,46,20.0,257,033,22.78450894355774
260216-230300,POMCP_bio,42,215.0,270,033,55.34066414833069
260216-230300,POMCP_bio,43,18.0,270,033,23.539812088012695
260216-230300,POMCP_bio,44,21.0,270,033,24.186912059783936
260216-230300,POMCP_bio,45,18.0,270,033,23.496379137039185
260216-230300,POMCP_bio,46,20.0,270,033,24.052904844284058
260217-193501,POMCP_bio,42,189.0,242,033,48.88028073310852
260217-193501,POMCP_bio,43,18.0,242,033,20.795336961746216
260217-193501,POMCP_bio,44,21.0,242,033,21.372424840927124
260217-193501,POMCP_bio,45,18.0,242,033,20.72478485107422
260217-193501,POMCP_bio,46,20.0,242,033,21.264015913009644
260218-180723,POMCP_bio,42,19.0,291,033,25.93057084083557
260218-180723,POMCP_bio,43,18.0,291,033,25.219585180282593
260218-180723,POMCP_bio,44,18.0,291,033,25.986011028289795
260218-180723,POMCP_bio,45,18.0,291,033,26.034269332885742
260218-180723,POMCP_bio,46,21.0,291,033,25.91444492340088
260219-233757,POMCP_bio,42,19.0,175,033,14.666567087173462
260219-233757,POMCP_bio,43,18.0,175,033,13.972543954849243
260219-233757,POMCP_bio,44,18.0,175,033,14.751522779464722
260219-233757,POMCP_bio,45,18.0,175,033,14.769654035568237
260219-233757,POMCP_bio,46,21.0,175,033,14.755483865737915
260220-185055,POMCP_bio,42,19.0,246,033,21.520448207855225
260220-185055,POMCP_bio,43,18.0,246,033,20.954798936843872
260220-185055,POMCP_bio,44,18.0,246,033,21.58192491531372
260220-185055,POMCP_bio,45,18.0,246,033,21.61950993537903
260220-185055,POMCP_bio,46,21.0,246,033,22.18173909187317
260222-190726,POMCP_bio,42,19.0,151,033,12.445384979248047
260222-190726,POMCP_bio,43,18.0,151,033,11.63365912437439
260222-190726,POMCP_bio,44,18.0,151,033,12.308370113372803
260222-190726,POMCP_bio,45,18.0,151,033,12.372342109680176
260222-190726,POMCP_bio,46,21.0,151,033,12.347681045532227
260223-191545,POMCP_bio,42,19.0,131,033,10.313331842422485
260223-191545,POMCP_bio,43,18.0,131,033,9.705039262771606
260223-191545,POMCP_bio,44,18.0,131,033,10.397338151931763
260223-191545,POMCP_bio,45,18.0,131,033,10.53247880935669
260223-191545,POMCP_bio,46,21.0,131,033,10.384700059890747
