exp_moment,animal_ID,model,seed,total_reward,n_actions,rpa,status
260316-000638,033,Mouse-bias_allo_real,3,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_allo_latent,3,16.0,535,0.029906542056074768,ok
260316-000638,033,ConditionalClone_ego,3,16.0,535,0.029906542056074768,ok
260316-000638,033,Random,4,,535,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260316-000638,033,Random_forward,4,,535,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260316-000638,033,Greedy_oracle,4,,535,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260316-000638,033,FullFwd,4,16.0,535,0.029906542056074768,ok
260316-000638,033,NoBkFullFwd,4,16.0,535,0.029906542056074768,ok
260316-000638,033,FSC_bio,4,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_ego,4,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_allo_real,4,16.0,535,0.029906542056074768,ok
260316-000638,033,Mouse-bias_allo_latent,4,16.0,535,0.029906542056074768,ok
260316-000638,033,ConditionalClone_ego,4,16.0,535,0.029906542056074768,ok
260316-230259,033,Random,0,,272,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Random_forward,0,,272,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Greedy_oracle,0,,272,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260316-230259,033,FullFwd,0,16.0,272,0.058823529411764705,ok
260316-230259,033,NoBkFullFwd,0,16.0,272,0.058823529411764705,ok
260316-230259,033,FSC_bio,0,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_ego,0,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_real,0,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_latent,0,16.0,272,0.058823529411764705,ok
260316-230259,033,ConditionalClone_ego,0,16.0,272,0.058823529411764705,ok
260316-230259,033,Random,1,,272,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Random_forward,1,,272,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Greedy_oracle,1,,272,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260316-230259,033,FullFwd,1,16.0,272,0.058823529411764705,ok
260316-230259,033,NoBkFullFwd,1,16.0,272,0.058823529411764705,ok
260316-230259,033,FSC_bio,1,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_ego,1,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_real,1,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_latent,1,16.0,272,0.058823529411764705,ok
260316-230259,033,ConditionalClone_ego,1,16.0,272,0.058823529411764705,ok
260316-230259,033,Random,2,,272,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Random_forward,2,,272,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Greedy_oracle,2,,272,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260316-230259,033,FullFwd,2,16.0,272,0.058823529411764705,ok
260316-230259,033,NoBkFullFwd,2,16.0,272,0.058823529411764705,ok
260316-230259,033,FSC_bio,2,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_ego,2,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_real,2,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_latent,2,16.0,272,0.058823529411764705,ok
260316-230259,033,ConditionalClone_ego,2,16.0,272,0.058823529411764705,ok
260316-230259,033,Random,3,,272,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Random_forward,3,,272,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Greedy_oracle,3,,272,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260316-230259,033,FullFwd,3,16.0,272,0.058823529411764705,ok
260316-230259,033,NoBkFullFwd,3,16.0,272,0.058823529411764705,ok
260316-230259,033,FSC_bio,3,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_ego,3,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_real,3,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_latent,3,16.0,272,0.058823529411764705,ok
260316-230259,033,ConditionalClone_ego,3,16.0,272,0.058823529411764705,ok
260316-230259,033,Random,4,,272,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Random_forward,4,,272,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260316-230259,033,Greedy_oracle,4,,272,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260316-230259,033,FullFwd,4,16.0,272,0.058823529411764705,ok
260316-230259,033,NoBkFullFwd,4,16.0,272,0.058823529411764705,ok
260316-230259,033,FSC_bio,4,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_ego,4,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_real,4,16.0,272,0.058823529411764705,ok
260316-230259,033,Mouse-bias_allo_latent,4,16.0,272,0.058823529411764705,ok
260316-230259,033,ConditionalClone_ego,4,16.0,272,0.058823529411764705,ok
260317-234056,033,Random,0,,191,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260317-234056,033,Random_forward,0,,191,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260317-234056,033,Greedy_oracle,0,,191,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260317-234056,033,FullFwd,0,16.0,191,0.08376963350785341,ok
260317-234056,033,NoBkFullFwd,0,16.0,191,0.08376963350785341,ok
260317-234056,033,FSC_bio,0,16.0,191,0.08376963350785341,ok
260317-234056,033,Mouse-bias_ego,0,16.0,191,0.08376963350785341,ok
260317-234056,033,Mouse-bias_allo_real,0,16.0,191,0.08376963350785341,ok
260317-234056,033,Mouse-bias_allo_latent,0,16.0,191,0.08376963350785341,ok
260317-234056,033,ConditionalClone_ego,0,14.0,191,0.07329842931937172,ok
260317-234056,033,Random,1,,191,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260317-234056,033,Random_forward,1,,191,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260317-234056,033,Greedy_oracle,1,,191,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260317-234056,033,FullFwd,1,16.0,191,0.08376963350785341,ok
260317-234056,033,NoBkFullFwd,1,16.0,191,0.08376963350785341,ok
260317-234056,033,FSC_bio,1,16.0,191,0.08376963350785341,ok
260317-234056,033,Mouse-bias_ego,1,16.0,191,0.08376963350785341,ok
260317-234056,033,Mouse-bias_allo_real,1,16.0,191,0.08376963350785341,ok
260317-234056,033,Mouse-bias_allo_latent,1,16.0,191,0.08376963350785341,ok
260317-234056,033,ConditionalClone_ego,1,11.0,191,0.05759162303664921,ok
260317-234056,033,Random,2,,191,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260317-234056,033,Random_forward,2,,191,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260317-234056,033,Greedy_oracle,2,,191,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260317-234056,033,FullFwd,2,16.0,191,0.08376963350785341,ok
260317-234056,033,NoBkFullFwd,2,16.0,191,0.08376963350785341,ok
260317-234056,033,FSC_bio,2,16.0,191,0.08376963350785341,ok
260317-234056,033,Mouse-bias_ego,2,16.0,191,0.08376963350785341,ok
260317-234056,033,Mouse-bias_allo_real,2,16.0,191,0.08376963350785341,ok
260317-234056,033,Mouse-bias_allo_latent,2,16.0,191,0.08376963350785341,ok
260317-234056,033,ConditionalClone_ego,2,14.0,191,0.07329842931937172,ok
260317-234056,033,Random,3,,191,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260317-234056,033,Random_forward,3,,191,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260317-234056,033,Greedy_oracle,3,,191,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260317-234056,033,FullFwd,3,15.0,191,0.07853403141361257,ok
260317-234056,033,NoBkFullFwd,3,16.0,191,0.08376963350785341,ok
260317-234056,033,FSC_bio,3,16.0,191,0.08376963350785341,ok
260317-234056,033,Mouse-bias_ego,3,16.0,191,0.08376963350785341,ok
260317-234056,033,Mouse-bias_allo_real,3,16.0,191,0.08376963350785341,ok
260317-234056,033,Mouse-bias_allo_latent,3,16.0,191,0.08376963350785341,ok
260317-234056,033,ConditionalClone_ego,3,12.0,191,0.06282722513089005,ok
260317-234056,033,Random,4,,191,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260317-234056,033,Random_forward,4,,191,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260317-234056,033,Greedy_oracle,4,,191,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260317-234056,033,FullFwd,4,16.0,191,0.08376963350785341,ok
260317-234056,033,NoBkFullFwd,4,16.0,191,0.08376963350785341,ok
260317-234056,033,FSC_bio,4,16.0,191,0.08376963350785341,ok
260317-234056,033,Mouse-bias_ego,4,16.0,191,0.08376963350785341,ok
260317-234056,033,Mouse-bias_allo_real,4,16.0,191,0.08376963350785341,ok
260317-234056,033,Mouse-bias_allo_latent,4,16.0,191,0.08376963350785341,ok
260317-234056,033,ConditionalClone_ego,4,15.0,191,0.07853403141361257,ok
260318-204155,033,Random,0,,151,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260318-204155,033,Random_forward,0,,151,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260318-204155,033,Greedy_oracle,0,,151,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260318-204155,033,FullFwd,0,16.0,151,0.10596026490066225,ok
260318-204155,033,NoBkFullFwd,0,16.0,151,0.10596026490066225,ok
260318-204155,033,FSC_bio,0,16.0,151,0.10596026490066225,ok
260318-204155,033,Mouse-bias_ego,0,15.0,151,0.09933774834437085,ok
260318-204155,033,Mouse-bias_allo_real,0,10.0,151,0.06622516556291391,ok
260318-204155,033,Mouse-bias_allo_latent,0,10.0,151,0.06622516556291391,ok
260318-204155,033,ConditionalClone_ego,0,14.0,151,0.09271523178807947,ok
260318-204155,033,Random,1,,151,,"error: TypeError(""run_random_agent() got multiple values for argument 'seed'"")"
260318-204155,033,Random_forward,1,,151,,"error: TypeError(""run_forward_random_agent() got multiple values for argument 'seed'"")"
260318-204155,033,Greedy_oracle,1,,151,,"error: TypeError(""run_greedy_agent() got multiple values for argument 'seed'"")"
260318-204155,033,FullFwd,1,16.0,151,0.10596026490066225,ok
260318-204155,033,NoBkFullFwd,1,16.0,151,0.10596026490066225,ok
260318-204155,033,FSC_bio,1,16.0,151,0.10596026490066225,ok
260318-204155,033,Mouse-bias_ego,1,16.0,151,0.10596026490066225,ok
260318-204155,033,Mouse-bias_allo_real,1,16.0,151,0.10596026490066225,ok
260318-204155,033,Mouse-bias_allo_latent,1,16.0,151,0.10596026490066225,ok
